0 0 Infinity
100 0 68.8172309057795
200 0 58.3126068705403
300 0 52.2082706634143
400 0 47.9051199394678
500 0 44.5886286727636
600 0 41.895988866457
700 0 39.6336707424992
800 0 37.6861569175059
900 0 35.9789386441062
1000 0 34.4611439560263
1100 0 33.0964898290064
1200 0 31.8581879275307
1300 0 30.7258964565303
1400 0 29.6838048539034
1500 0 28.7193808710157
1600 0 27.8225228407232
1700 0 26.9849693975794
1800 0 26.1998781741465
1900 0 25.4615185570622
2000 0 24.765043343052
2100 0 24.1063161642449
2200 0 23.4817790962281
2300 0 22.8883497191039
2400 0 22.3233401024849
2500 0 21.7843923393486
2600 0 21.2694267309464
2700 0 20.7765997557123
2800 0 20.3042696856476
2900 0 19.8509682389158
3000 0 19.415377040045
3100 0 18.9963079413405
3200 0 18.5926864695778
3300 0 18.2035378206654
3400 0 17.8279749456782
3500 0 17.4651883643628
3600 0 17.1144374140106
3700 0 16.7750426976467
3800 0 16.4463795395656
3900 0 16.1278722911665
4000 0 15.8189893578826
4100 0 15.5192388403419
4200 0 15.2281647009277
4300 0 14.9453433815436
4400 0 14.6703808103312
4500 0 14.4029097448852
4600 0 14.1425874075813
4700 0 13.8890933753175
4800 0 13.6421276915251
4900 0 13.4014091729471
5000 0 13.1666738875703
5100 0 12.9376737833737
5200 0 12.7141754503178
0 0 Infinity
99 8 68.9202002786658
199 17 58.3326796900091
298 26 52.2506237718782
398 34 47.9242235858518
498 43 44.5911753648535
597 52 41.9119512391115
697 61 39.6381170144948
796 69 37.701749054593
896 78 35.9855223090021
996 87 34.4605269425641
1095 95 33.1041233884211
1195 104 31.8596687271055
1295 113 30.722176279994
1394 122 29.6856048024458
1494 130 28.7174914574443
1593 139 27.8252044227054
1693 148 26.9835209034196
1793 156 26.1955037856871
1892 165 25.4609685608253
1992 174 24.7611193080342
2092 183 24.0993446854324
2191 191 23.478706797285
2291 200 22.8824345422368
2390 209 22.3203164194578
2490 217 21.7792639309264
2590 226 21.2618487862912
2689 235 20.7715603896363
2789 244 20.29693644254
2888 252 19.8463864655388
2988 261 19.4086256919921
3088 270 18.9875321493536
3187 278 18.586377626062
3287 287 18.1953030726105
3387 296 17.8179325875381
3486 305 17.4569959310516
3586 313 17.1048972512836
3685 322 16.767196535338
3785 331 16.4368901186779
3885 339 16.1171692232159
3984 348 15.8098335219756
4084 357 15.5085906166701
4184 366 15.2160998258768
4283 374 14.9350148644298
4383 383 14.65868805098
4482 392 14.3925428309345
4582 400 14.1312003326825
